"Date","StationFID","CWName","Level","Volume","FSL","FSLVolume"
2019-07-01,"406220A","Malmsbury",442.24,2300,447.8,11800
2019-07-02,"406220A","Malmsbury",442.28,2336,447.8,11800
2019-07-03,"406220A","Malmsbury",442.31,2364,447.8,11800
2019-07-04,"406220A","Malmsbury",442.33,2383,447.8,11800
2019-07-05,"406220A","Malmsbury",442.34,2392,447.8,11800
2019-07-06,"406220A","Malmsbury",442.36,2411,447.8,11800
2019-07-07,"406220A","Malmsbury",442.37,2420,447.8,11800
2019-07-08,"406220A","Malmsbury",442.39,2439,447.8,11800
2019-07-09,"406220A","Malmsbury",442.4,2448,447.8,11800
2019-07-10,"406220A","Malmsbury",442.42,2467,447.8,11800
2019-07-11,"406220A","Malmsbury",442.45,2496,447.8,11800
2019-07-12,"406220A","Malmsbury",442.48,2525,447.8,11800
2019-07-13,"406220A","Malmsbury",442.53,2574,447.8,11800
2019-07-14,"406220A","Malmsbury",442.59,2633,447.8,11800
2019-07-15,"406220A","Malmsbury",442.63,2673,447.8,11800
2019-07-16,"406220A","Malmsbury",442.67,2714,447.8,11800
2019-07-17,"406220A","Malmsbury",442.7,2745,447.8,11800
2019-07-18,"406220A","Malmsbury",442.73,2777,447.8,11800
2019-07-19,"406220A","Malmsbury",442.77,2819,447.8,11800
2019-07-20,"406220A","Malmsbury",442.8,2851,447.8,11800
2019-07-21,"406220A","Malmsbury",442.82,2872,447.8,11800
2019-07-22,"406220A","Malmsbury",442.84,2894,447.8,11800
2019-07-23,"406220A","Malmsbury",442.86,2916,447.8,11800
2019-07-24,"406220A","Malmsbury",442.89,2949,447.8,11800
2019-07-25,"406220A","Malmsbury",442.96,3027,447.8,11800
2019-10-18,"406220A","Malmsbury",446.77,9420,447.8,11800
2019-10-19,"406220A","Malmsbury",446.76,9398,447.8,11800
2019-10-20,"406220A","Malmsbury",446.74,9354,447.8,11800
2019-10-21,"406220A","Malmsbury",446.7,9267,447.8,11800
2019-10-22,"406220A","Malmsbury",446.67,9202,447.8,11800
2019-10-23,"406220A","Malmsbury",446.63,9116,447.8,11800
2019-10-24,"406220A","Malmsbury",446.58,9009,447.8,11800
2019-10-25,"406220A","Malmsbury",446.52,8881,447.8,11800
2019-10-26,"406220A","Malmsbury",446.45,8733,447.8,11800
2019-10-27,"406220A","Malmsbury",446.38,8586,447.8,11800
2019-10-28,"406220A","Malmsbury",446.32,8461,447.8,11800
2019-10-29,"406220A","Malmsbury",446.29,8399,447.8,11800
2019-10-30,"406220A","Malmsbury",446.3,8420,447.8,11800
2019-10-31,"406220A","Malmsbury",446.3,8420,447.8,11800
2019-11-01,"406220A","Malmsbury",446.31,8441,447.8,11800
2019-11-02,"406220A","Malmsbury",446.31,8441,447.8,11800
2019-11-03,"406220A","Malmsbury",446.34,8503,447.8,11800
2019-11-04,"406220A","Malmsbury",446.34,8503,447.8,11800
