"StationID","SiteName","ShortName","CWName","Zone","Easting","Northing","GRDDatum","Lattitude","Longitude","LLDatum","SiteType"
"406200B","Coliban River at Malmsbury","Coliban R Malmsbury ","Coliban River d/s of Malmsbury Reservoir",55,267476,5880683,"MGA94",-37.19146,144.38032,"GDA94","StreamFlow"
"406210A","Coliban River Downstream Lauriston Reservoir ","Coliban Lauriston","Coliban River d/s of Lauriston Reservoir",55,267692.2,5874071.8,"MGA94",-37.25096,144.38071,"GDA94","StreamFlow"
"406220A","Part 2 Coliban Main Channel at Offtake","PT 2 Coliban Main Offtake","Malmsbury Head Gauge",55,267145.6,5880467.8,"MGA94",-37.19323,144.37655,"GDA94","Reservoir"
"406221A","Coliban River at Upper Coliban Res. (Head Gauge)","Coliban @ U. Coliban","Upper Coliban Head Gauge",55,269160,5870385.4,"MGA94",-37.28452,144.3961,"GDA94","Reservoir"
"406222A","Coliban River at Lauriston Reservoir (Head Gauge)","Coliban @ Lauriston","Lauriston Head Gauge",55,267750.3,5873771.3,"MGA94",-37.25368,144.38127,"GDA94","Reservoir"
"406250A","Coliban River @ Springhill-Tylden Road ","Coliban @ Springhill","Coliban River at Mannings Bridge",55,266415.5,5866412,"UTM",-37.31948333,144.3639361,"WGS84","StreamFlow"
"406273A","Trentham No 2 Reservoir H.G. at East Trentham","Trentham NO 2 Res HG","Trentham No 2 Head Gauge",55,265938,5856668.8,"MGA94",-37.407223,144.355459,"GDA94","Reservoir"
"406280A","Little Coliban RV at Gluepot Bridge","LT Coliban @ Gluepot","Little Coliban River at Glue Pot Bridge",55,272526.1,5869915.7,"MGA94",-37.28957778,144.4338917,"GDA94","StreamFlow"
"406281A","Kangaroo Creek Upstream Malmsbury Reservoir","K'Roo C U/S Malmsbury","Kangaroo Creek at Trickies Lane",55,263970.5,5875285.1,"UTM",-37.23897052,144.3391868,"GDA94","StreamFlow"
"406282A","Trentham No 1 Reservoir Head Gauge at East Trentham","Trentham No 1 Res. HG","Trentham No 1 Head Gauge",55,265938,5856668.8,"MGA94",-37.407223,144.355459,"GDA94","Reservoir"
