"Date","StationFID","CWName","Flow"
1889-05-07,"406200B","Coliban River d/s of Malmsbury Reservoir",5
1889-05-22,"406200B","Coliban River d/s of Malmsbury Reservoir",5
1889-05-23,"406200B","Coliban River d/s of Malmsbury Reservoir",8
1889-06-01,"406200B","Coliban River d/s of Malmsbury Reservoir",8
1889-06-02,"406200B","Coliban River d/s of Malmsbury Reservoir",11
1889-06-03,"406200B","Coliban River d/s of Malmsbury Reservoir",597
1889-06-04,"406200B","Coliban River d/s of Malmsbury Reservoir",477
1889-06-05,"406200B","Coliban River d/s of Malmsbury Reservoir",360
1889-06-06,"406200B","Coliban River d/s of Malmsbury Reservoir",323
1889-06-07,"406200B","Coliban River d/s of Malmsbury Reservoir",477
1889-06-08,"406200B","Coliban River d/s of Malmsbury Reservoir",568
1889-06-09,"406200B","Coliban River d/s of Malmsbury Reservoir",286
1889-06-10,"406200B","Coliban River d/s of Malmsbury Reservoir",286
1889-06-11,"406200B","Coliban River d/s of Malmsbury Reservoir",286
1889-06-12,"406200B","Coliban River d/s of Malmsbury Reservoir",286
1889-06-13,"406200B","Coliban River d/s of Malmsbury Reservoir",11166
1889-06-14,"406200B","Coliban River d/s of Malmsbury Reservoir",1590
1889-06-15,"406200B","Coliban River d/s of Malmsbury Reservoir",1241
1889-06-16,"406200B","Coliban River d/s of Malmsbury Reservoir",1241
1889-06-17,"406200B","Coliban River d/s of Malmsbury Reservoir",759
1889-06-18,"406200B","Coliban River d/s of Malmsbury Reservoir",104
1889-06-19,"406200B","Coliban River d/s of Malmsbury Reservoir",104
1889-06-20,"406200B","Coliban River d/s of Malmsbury Reservoir",104
1889-06-21,"406200B","Coliban River d/s of Malmsbury Reservoir",286
1889-06-22,"406200B","Coliban River d/s of Malmsbury Reservoir",286
1889-06-23,"406200B","Coliban River d/s of Malmsbury Reservoir",286
1889-06-24,"406200B","Coliban River d/s of Malmsbury Reservoir",286
1889-06-25,"406200B","Coliban River d/s of Malmsbury Reservoir",568
1889-06-29,"406200B","Coliban River d/s of Malmsbury Reservoir",568
1889-06-30,"406200B","Coliban River d/s of Malmsbury Reservoir",973
1889-07-01,"406200B","Coliban River d/s of Malmsbury Reservoir",973
1889-07-02,"406200B","Coliban River d/s of Malmsbury Reservoir",973
1889-07-03,"406200B","Coliban River d/s of Malmsbury Reservoir",973
1889-07-04,"406200B","Coliban River d/s of Malmsbury Reservoir",568
1889-07-05,"406200B","Coliban River d/s of Malmsbury Reservoir",286
1889-07-06,"406200B","Coliban River d/s of Malmsbury Reservoir",42
1889-07-27,"406200B","Coliban River d/s of Malmsbury Reservoir",42
1889-07-28,"406200B","Coliban River d/s of Malmsbury Reservoir",5
1889-07-29,"406200B","Coliban River d/s of Malmsbury Reservoir",11
1889-07-30,"406200B","Coliban River d/s of Malmsbury Reservoir",5
1889-07-31,"406200B","Coliban River d/s of Malmsbury Reservoir",5
1889-08-01,"406200B","Coliban River d/s of Malmsbury Reservoir",11
1889-08-05,"406200B","Coliban River d/s of Malmsbury Reservoir",11
1889-08-06,"406200B","Coliban River d/s of Malmsbury Reservoir",15
1889-08-07,"406200B","Coliban River d/s of Malmsbury Reservoir",18
1889-08-08,"406200B","Coliban River d/s of Malmsbury Reservoir",42
1889-08-09,"406200B","Coliban River d/s of Malmsbury Reservoir",105
1889-08-10,"406200B","Coliban River d/s of Malmsbury Reservoir",418
1889-08-11,"406200B","Coliban River d/s of Malmsbury Reservoir",418
1889-08-12,"406200B","Coliban River d/s of Malmsbury Reservoir",105
1889-08-17,"406200B","Coliban River d/s of Malmsbury Reservoir",105
1889-08-18,"406200B","Coliban River d/s of Malmsbury Reservoir",42
1889-08-19,"406200B","Coliban River d/s of Malmsbury Reservoir",42
1889-08-20,"406200B","Coliban River d/s of Malmsbury Reservoir",42
1889-08-21,"406200B","Coliban River d/s of Malmsbury Reservoir",973
1889-08-22,"406200B","Coliban River d/s of Malmsbury Reservoir",973
1889-08-23,"406200B","Coliban River d/s of Malmsbury Reservoir",568
1889-08-24,"406200B","Coliban River d/s of Malmsbury Reservoir",568
