p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,hardship,contact,t1,t2,t3,t4,t5,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,utility,id
7,7,7,7,7,4,1,7,4,7,2,2,6,7,6,6,3,4,6,6,6,5,6,5,4,2,6,2,6,4,AU01,1
7,7,7,7,7,1,1,7,1,4,1,1,7,6,6,6,7,4,6,4,4,4,6,4,4,4,4,6,4,4,AU01,2
7,7,7,7,7,4,4,6,4,5,5,2,6,7,5,7,3,4,6,5,5,4,5,4,4,4,5,5,5,4,AU01,3
7,7,7,7,7,5,4,6,4,5,2,1,5,7,7,5,7,7,7,7,7,7,4,7,6,1,7,6,7,7,AU01,4
6,6,7,7,7,2,2,4,2,4,1,1,2,7,7,6,7,5,6,5,2,4,4,6,4,1,5,2,6,6,AU01,5
7,6,6,7,7,3,2,5,3,4,1,1,7,6,6,5,7,4,6,4,6,5,6,4,5,3,4,6,4,4,AU01,6
7,7,7,7,7,4,4,4,4,6,1,1,7,7,6,6,7,4,6,4,7,6,6,4,4,7,4,6,4,6,AU01,7
6,6,6,6,6,6,6,6,6,6,5,1,4,4,3,4,2,4,3,4,3,4,3,4,4,4,4,4,4,3,AU01,8
7,7,5,7,7,4,1,5,4,4,3,2,7,7,6,6,6,4,7,4,6,4,6,4,4,4,4,6,4,6,AU01,9
7,7,7,7,7,6,5,6,5,3,2,1,7,7,7,7,7,7,7,6,6,6,7,6,4,5,6,7,6,7,AU01,10
7,7,1,7,7,5,5,7,5,4,6,1,7,5,5,5,6,4,5,4,5,4,4,4,4,4,4,6,4,6,AU01,11
6,5,3,4,6,2,1,4,1,2,2,2,6,2,6,4,6,6,5,5,5,6,4,6,3,3,5,4,6,4,AU01,12
7,7,6,7,7,4,4,3,4,4,5,1,7,7,6,2,5,6,6,4,5,5,6,6,4,4,4,5,4,6,AU01,13
7,7,7,7,7,5,4,7,5,4,2,2,7,7,7,7,7,4,7,4,7,4,4,4,4,4,4,6,4,6,AU01,14
7,7,5,7,7,3,3,5,2,3,2,1,7,7,7,7,7,7,7,4,7,4,7,4,4,3,4,7,4,7,AU01,15
7,7,6,5,7,3,3,6,2,1,2,1,7,7,6,6,6,6,6,4,6,4,6,4,4,3,4,6,4,5,AU01,16
7,4,5,5,7,4,4,5,4,4,4,2,7,2,4,2,1,3,7,3,7,4,7,3,1,1,4,3,4,4,AU01,17
7,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,4,7,4,4,7,4,7,4,7,AU01,18
3,7,7,4,4,7,1,5,4,1,6,2,6,6,6,6,6,6,6,1,2,2,6,6,2,1,1,6,1,1,AU01,19
7,7,6,7,7,6,2,7,6,1,1,2,6,6,6,6,6,6,6,5,6,6,6,6,4,5,5,5,5,5,AU01,20
7,7,7,7,7,4,4,4,4,4,4,2,6,6,6,6,6,5,6,6,6,6,6,6,6,4,6,5,6,6,AU01,21
3,7,6,7,7,4,4,4,4,4,2,1,7,7,7,7,7,6,5,5,6,6,5,5,5,5,5,4,5,5,AU01,22
7,7,6,7,7,2,2,1,1,4,7,2,7,3,7,2,4,2,6,2,7,1,2,5,2,2,2,2,3,1,AU01,23
7,7,6,7,7,5,5,6,5,5,2,2,6,6,4,4,6,6,5,5,5,4,5,5,4,4,4,6,5,5,AU01,24
7,7,7,7,7,7,7,7,7,7,5,2,6,6,6,6,5,4,3,5,3,4,4,5,4,4,4,4,4,4,AU01,25
7,7,7,7,7,5,5,7,6,4,1,2,7,7,7,7,7,4,7,7,7,6,5,7,7,6,7,6,7,7,AU01,26
7,7,7,7,7,6,5,7,7,7,3,1,6,3,3,5,5,3,5,5,5,5,5,5,5,3,4,5,5,5,AU01,27
7,7,7,7,7,4,4,7,4,4,2,1,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,AU01,28
7,7,6,7,7,6,6,6,6,7,4,2,6,7,7,7,6,5,7,7,6,7,6,6,7,4,7,6,7,6,AU01,29
7,7,7,7,7,4,1,7,1,4,5,1,7,3,3,1,6,4,3,3,6,3,3,4,3,2,4,1,5,4,AU01,30
6,6,4,6,6,4,3,6,4,4,2,1,6,6,5,6,6,2,5,4,6,5,6,6,5,3,4,3,5,2,AU01,31
7,5,6,7,7,5,4,5,3,3,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,AU01,34
7,7,5,7,7,3,4,4,4,4,2,1,7,7,7,6,5,3,6,4,7,4,4,4,4,4,4,6,4,5,AU01,35
7,7,7,7,7,5,4,7,6,4,1,1,7,7,6,7,7,6,7,6,6,4,6,4,4,4,4,6,4,6,AU01,37
6,6,6,6,7,4,2,2,2,3,1,1,7,6,6,6,6,6,6,6,6,6,6,6,4,6,6,5,6,6,AU01,38
7,6,6,7,7,6,6,7,6,6,5,1,2,3,3,4,6,6,5,4,5,6,5,3,4,2,4,3,5,4,AU01,39
7,7,6,7,7,7,1,7,4,1,2,1,6,6,4,6,6,6,6,6,6,6,6,6,6,4,4,6,4,3,AU01,40
7,7,5,7,7,6,5,7,5,3,1,2,7,7,7,6,7,7,7,6,7,5,7,5,6,7,5,7,6,5,AU01,41
7,5,7,7,7,3,3,3,3,2,6,2,3,7,7,7,5,2,2,1,2,2,2,1,1,1,1,3,1,1,AU01,42
7,7,7,6,7,4,4,6,5,4,2,1,7,5,6,6,7,6,6,4,4,4,4,4,2,4,4,6,4,5,AU01,43
7,7,7,7,7,5,6,7,4,5,1,1,7,7,7,7,7,4,6,2,6,4,6,5,1,1,4,6,5,5,AU01,44
7,7,1,1,1,1,7,7,7,7,2,2,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,AU01,46
7,7,7,7,7,4,4,7,5,4,2,1,7,7,7,6,7,6,6,7,6,5,7,6,6,6,6,5,7,5,AU01,47
7,7,4,7,7,1,1,1,1,4,3,2,7,7,7,7,7,6,6,6,6,6,6,6,6,4,6,4,6,4,AU01,48
7,7,7,7,7,7,6,7,6,6,1,1,7,7,6,7,6,7,7,7,7,7,7,7,4,5,7,7,7,6,AU01,49
7,7,7,7,7,7,4,5,4,4,3,2,6,6,6,6,5,5,6,6,6,5,6,6,6,6,6,5,6,6,AU01,50
7,7,7,7,7,7,7,7,5,4,4,1,7,7,6,6,7,4,7,4,7,4,5,4,4,5,5,4,7,4,AU01,51
7,6,7,7,7,7,4,6,5,4,2,2,6,6,6,7,7,6,6,5,6,6,6,5,5,6,6,6,6,5,AU01,52
7,6,6,7,7,6,5,5,5,5,3,2,6,6,6,6,6,5,6,6,6,6,6,6,4,3,5,6,5,5,AU01,53
7,7,7,7,7,4,4,6,4,6,2,1,7,7,6,6,5,7,7,7,7,6,4,7,4,6,6,7,5,4,AU01,55
7,6,7,7,7,6,4,7,4,5,2,1,6,6,6,6,6,3,6,4,5,4,6,4,4,4,4,5,4,3,AU01,56
7,2,4,6,6,6,2,5,3,2,3,1,5,5,4,4,3,3,4,2,2,2,2,2,2,1,2,3,3,1,AU01,57
7,4,4,4,7,4,4,4,4,4,1,2,6,6,5,6,6,6,6,6,6,6,6,5,4,4,4,5,6,6,AU01,58
7,7,7,7,7,4,1,4,1,4,1,1,7,7,7,7,7,4,6,4,5,4,7,4,4,5,4,6,4,5,AU01,59
7,4,4,7,7,1,1,4,1,1,1,2,7,7,6,7,1,5,6,4,6,4,4,4,4,4,4,5,4,5,AU01,60
7,7,7,7,7,6,4,6,6,5,1,2,6,5,6,5,3,6,6,6,6,6,6,5,6,6,4,6,6,6,AU01,62
7,5,7,6,7,4,3,4,3,2,3,2,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,AU01,63
7,7,6,7,7,6,7,7,5,6,2,3,6,5,6,6,6,6,6,7,6,6,7,7,5,7,6,4,7,6,AU01,64
6,6,6,6,6,6,6,6,5,6,1,2,7,7,7,6,7,6,6,5,5,4,6,4,4,5,4,6,6,5,AU01,65
7,7,4,7,7,4,4,4,4,4,5,2,6,6,6,6,6,4,5,2,2,5,5,3,2,2,2,3,2,2,AU01,66
7,7,7,7,7,4,4,7,4,5,1,1,7,7,6,6,6,4,4,4,5,6,6,4,4,4,4,7,4,6,AU01,67
7,7,6,7,7,4,4,4,5,4,7,1,7,3,7,3,7,6,5,4,4,4,6,5,4,3,4,5,4,4,AU01,68
7,7,7,7,7,3,3,6,4,6,1,1,7,7,7,7,7,4,7,4,7,4,4,4,4,4,4,4,4,6,AU01,69
