Easting,Northing,Depth
352606.8,4386507,9.7
352606.8,4386507,8.8
352606.5,4386507,11.4
352605.9,4386509,15.8
352605.7,4386510,14.1
352658.8,4386512,7.9
352661.5,4386512,7.8
352605.2,4386512,19.2
352665.7,4386512,8.4
352670.2,4386512,8.7
352678,4386513,10
352672.9,4386513,9
352656,4386513,10
352681.4,4386513,10.4
352675.1,4386513,9.7
352604.6,4386514,17.2
352659.8,4386514,10.9
352604.4,4386515,24.3
352615.1,4386515,19.1
352655.7,4386515,11
352661.7,4386515,11.7
352662.5,4386515,12.7
352684.9,4386515,12.5
352649.7,4386516,12.6
352603.3,4386516,20.6
352612.4,4386516,20.5
352610,4386516,21.5
352664.2,4386516,14.7
352647.8,4386516,13.6
352686.7,4386516,14.5
352618,4386516,17.8
352663.7,4386516,14.2
352608.9,4386517,24.9
352624.2,4386517,16.4
352628.4,4386517,15.8
352664.5,4386517,15.6
352643.2,4386517,15.1
352666.3,4386518,18.2
352665.9,4386518,16.4
352637.9,4386518,19
352666.6,4386518,19.1
352635.1,4386518,15.2
352602.3,4386518,24.2
352652.6,4386518,13.2
352686.7,4386518,15.5
352687.7,4386518,16.1
352685.7,4386518,15.6
352602.8,4386519,28.1
352667.5,4386519,20
352604.1,4386519,26.8
352601.6,4386519,26.2
352688.2,4386519,17.7
352603.5,4386519,29.9
352687.5,4386519,16.9
352685.1,4386519,16.9
352667.3,4386519,19.4
352688,4386520,18
352668,4386520,21.1
352724,4386520,10.7
352667.7,4386520,20.4
352601.3,4386520,28.3
352668.1,4386520,21.5
352652,4386521,21.5
352668.7,4386521,22.2
352726.4,4386521,8.7
352668.5,4386521,22.3
352727.9,4386521,7.7
352668.3,4386521,21.6
352680.1,4386522,22.1
352679.4,4386522,22.2
352679.7,4386522,22.2
352682.8,4386522,21.4
352681.1,4386522,21.8
352681.3,4386522,21.9
352680.3,4386522,22
352681.7,4386522,21.4
352678.9,4386522,22.5
352682.1,4386522,21.7
352682.1,4386522,21.7
352682.4,4386522,21.5
352682.6,4386522,21.4
352681.6,4386522,21.7
352680.8,4386522,22
352668.8,4386522,23.4
352668.9,4386522,24.2
352668.9,4386522,23.5
352678.3,4386522,22.7
352673.7,4386522,24.8
352674.1,4386522,24.1
352674.4,4386522,23.9
352730.4,4386522,10.1
352675.3,4386522,23.7
352675.8,4386522,23.8
352676.1,4386522,23.3
352676.8,4386522,23.1
352677.5,4386522,23.1
352677.8,4386522,22.9
352675,4386522,23.9
352678.5,4386522,22.6
352683.5,4386522,21.1
352683.2,4386522,21
352683.1,4386522,21.2
352721.8,4386522,13.6
352669.3,4386523,24.9
352669.2,4386523,24.3
352669.7,4386523,25.4
352669.8,4386523,25.2
352670.1,4386523,25
352669.5,4386523,25.2
352670.8,4386523,25.6
352671.1,4386523,25.5
352671.6,4386523,25.3
352673.3,4386523,24.4
352672.8,4386523,24.2
352672.5,4386523,25.1
352672.2,4386523,24.6
352670.3,4386523,25.3
352669.6,4386523,25.1
